,datetime,polarity,subjectivity,search_query
0, 2019-12-07 22:46:42,0.5,0.5, (to:@elonmusk)
1, 2019-12-07 22:46:40,0.007954545454545455,0.5140151515151515, (to:@elonmusk)
3, 2019-12-07 22:46:22,0.0,0.0, (to:@elonmusk)
4, 2019-12-07 22:46:12,0.6000000000000001,0.9, (to:@elonmusk)
5, 2019-12-07 22:45:54,0.0,0.0, (to:@elonmusk)
6, 2019-12-07 22:45:43,-0.056944444444444436,0.3236111111111111, (to:@elonmusk)
7, 2019-12-07 22:45:32,0.0,0.0, (to:@elonmusk)
8, 2019-12-07 22:45:29,0.8,0.7, (to:@elonmusk)
9, 2019-12-07 22:45:21,0.17500000000000002,0.6375, (to:@elonmusk)
10, 2019-12-07 22:45:18,0.0,0.0, (to:@elonmusk)
11, 2019-12-07 22:45:16,0.8,0.7, (to:@elonmusk)
12, 2019-12-07 22:44:51,0.0,0.0, (to:@elonmusk)
13, 2019-12-07 22:44:41,0.6,0.95, (to:@elonmusk)
14, 2019-12-07 22:44:36,0.2857142857142857,0.5357142857142857, (to:@elonmusk)
15, 2019-12-07 22:44:31,0.29523809523809524,0.4785714285714286, (to:@elonmusk)
16, 2019-12-07 22:44:25,0.2,0.2, (to:@elonmusk)
17, 2019-12-07 22:44:24,0.0,0.0, (to:@elonmusk)
19, 2019-12-07 22:44:09,-0.4,0.8500000000000001, (to:@elonmusk)
20, 2019-12-07 22:44:04,0.6,1.0, (to:@elonmusk)
21, 2019-12-07 22:44:03,0.4952380952380953,0.5452380952380952, (to:@elonmusk)
22, 2019-12-07 22:43:43,0.5,1.0, (to:@elonmusk)
23, 2019-12-07 22:43:37,0.0,0.0, (to:@elonmusk)
24, 2019-12-07 22:43:35,0.0,0.0, (to:@elonmusk)
25, 2019-12-07 22:43:30,0.1,0.6, (to:@elonmusk)
26, 2019-12-07 22:43:29,0.2,0.2, (to:@elonmusk)
27, 2019-12-07 22:43:25,0.0,0.0, (to:@elonmusk)
28, 2019-12-07 22:43:11,0.5,0.5, (to:@elonmusk)
29, 2019-12-07 22:43:08,0.0,0.0, (to:@elonmusk)
30, 2019-12-07 22:43:03,0.0,0.0, (to:@elonmusk)
31, 2019-12-07 22:43:02,0.0,0.0, (to:@elonmusk)
32, 2019-12-07 22:42:49,0.2,0.4, (to:@elonmusk)
34, 2019-12-07 22:42:37,0.5333333333333333,0.7166666666666667, (to:@elonmusk)
35, 2019-12-07 22:41:59,0.0,0.0, (to:@elonmusk)
37, 2019-12-07 22:41:39,0.5,0.5, (to:@elonmusk)
39, 2019-12-07 22:41:24,-0.115,0.5004166666666667, (to:@elonmusk)
40, 2019-12-07 22:40:53,0.0,0.0, (to:@elonmusk)
41, 2019-12-07 22:40:51,0.4952380952380953,0.5452380952380952, (to:@elonmusk)
42, 2019-12-07 22:40:45,-0.033333333333333354,0.5333333333333333, (to:@elonmusk)
43, 2019-12-07 22:40:44,0.15,0.6499999999999999, (to:@elonmusk)
44, 2019-12-07 22:40:40,0.8,0.7, (to:@elonmusk)
